	(1)	(2)	(3)	(4)	(5)
VARIABLES	wage_change	wage_change	_t	_t	_t
					
sevpay	-0.00944	0.00540	-0.0236*	-0.00913	
	(0.00654)	(0.00764)	(0.0123)	(0.0184)	
eligible30	-0.00183	-0.0160**	0.0114	0.0186	0.0203*
	(0.00637)	(0.00713)	(0.0117)	(0.0172)	(0.0116)
dten1	0.00269	0.00104	-0.0217	-0.0281	
	(0.0165)	(0.0188)	(0.0314)	(0.0454)	
dten2	-0.0108	0.0114	0.0439	0.0245	
	(0.0177)	(0.0201)	(0.0336)	(0.0486)	
dten3	-0.00676	0.00459	0.00393	0.00169	
	(0.00547)	(0.00622)	(0.0104)	(0.0150)	
int1	0.00958	-0.0356	0.148***	0.0831	
	(0.0289)	(0.0336)	(0.0546)	(0.0810)	
int2	-0.0155	0.0233	-0.211***	-0.0845	
	(0.0343)	(0.0399)	(0.0649)	(0.0961)	
int3	0.0215*	-0.0191	0.0578***	0.0130	
	(0.0115)	(0.0134)	(0.0219)	(0.0323)	
demp1	-0.0455**	0.0205	0.00853	-0.0353	
	(0.0215)	(0.0256)	(0.0397)	(0.0616)	
demp2	-0.0318	0.00749	-0.0167	-0.0592	
	(0.0254)	(0.0316)	(0.0471)	(0.0761)	
demp3	-0.0175**	0.00176	0.00310	-0.0236	
	(0.00855)	(0.0110)	(0.0158)	(0.0266)	
int_emp1	0.0190	0.0517*	-0.0495	-0.0467	
	(0.0270)	(0.0314)	(0.0501)	(0.0756)	
int_emp2	0.0561*	-0.0492	0.0695	0.133	
	(0.0308)	(0.0372)	(0.0575)	(0.0896)	
int_emp3	0.00290	0.0140	-0.0382**	-0.00357	
	(0.0101)	(0.0126)	(0.0188)	(0.0303)	
female		-0.276***		-0.106***	
		(0.00201)		(0.00488)	
married		0.0255***		0.00653	
		(0.00191)		(0.00467)	
austrian		0.00690***		-0.0572***	
		(0.00249)		(0.00605)	
bluecollar		-0.0332***		0.0461***	
		(0.00252)		(0.00605)	
age		-0.0103***		-0.0356***	
		(0.00110)		(0.00268)	
age2		0.000133***		0.000507***	
		(1.57e-05)		(3.84e-05)	
lwage		-1.559***		-0.00574	
		(0.0171)		(0.0405)	
lwage2		0.0621***		-0.000970	
		(0.00130)		(0.00308)	
endmo_dum2		0.00802*		0.00891	
		(0.00425)		(0.0103)	
endmo_dum3		0.00508		0.0291***	
		(0.00407)		(0.00985)	
endmo_dum4		0.00164		0.0417***	
		(0.00418)		(0.0101)	
endmo_dum5		-0.00306		0.0334***	
		(0.00424)		(0.0103)	
endmo_dum6		-0.0117***		0.0256**	
		(0.00415)		(0.0100)	
endmo_dum7		-0.0117***		0.0147	
		(0.00415)		(0.0100)	
endmo_dum8		-0.0134***		0.0157	
		(0.00412)		(0.00995)	
endmo_dum9		-0.0156***		0.0465***	
		(0.00400)		(0.00966)	
endmo_dum10		-0.00714*		0.0548***	
		(0.00399)		(0.00964)	
endmo_dum11		-0.000870		0.0527***	
		(0.00402)		(0.00972)	
endmo_dum12		0.00731*		0.00864	
		(0.00389)		(0.00938)	
endy_dum2		-0.0125*		0.0820***	
		(0.00736)		(0.0180)	
endy_dum3		-0.0133*		0.0923***	
		(0.00735)		(0.0180)	
endy_dum4		0.0157**		0.116***	
		(0.00732)		(0.0179)	
endy_dum5		0.0316***		0.151***	
		(0.00720)		(0.0176)	
endy_dum6		0.0417***		0.0296*	
		(0.00670)		(0.0164)	
endy_dum7		0.0581***		-0.101***	
		(0.00657)		(0.0162)	
endy_dum8		0.0697***		-0.0656***	
		(0.00660)		(0.0162)	
endy_dum9		0.0897***		-0.0797***	
		(0.00668)		(0.0164)	
endy_dum10		0.103***		-0.0751***	
		(0.00655)		(0.0161)	
endy_dum11		0.103***		-0.0371**	
		(0.00647)		(0.0159)	
endy_dum12		0.0978***		0.0182	
		(0.00636)		(0.0156)	
endy_dum13		0.0913***		0.0554***	
		(0.00631)		(0.0155)	
endy_dum14		0.0977***		0.0740***	
		(0.00643)		(0.0158)	
endy_dum15		0.0940***		0.0958***	
		(0.00641)		(0.0157)	
endy_dum16		0.0753***		0.138***	
		(0.00639)		(0.0157)	
endy_dum17		0.0800***		0.168***	
		(0.00645)		(0.0159)	
endy_dum18		0.0974***		0.194***	
		(0.00646)		(0.0159)	
endy_dum19		0.112***		0.248***	
		(0.00665)		(0.0164)	
endy_dum20		0.114***		0.324***	
		(0.00677)		(0.0166)	
endy_dum21		0.124***		0.459***	
		(0.00679)		(0.0166)	
firms		-4.25e-05***		0.000120***	
		(2.85e-06)		(6.77e-06)	
experience		-2.08e-05***		-4.60e-05***	
		(1.89e-06)		(4.58e-06)	
exper2		3.23e-09***		4.61e-10	
		(2.41e-10)		(5.87e-10)	
